No,山名,北緯,東経,よみがな,標高（m）,所在地,地域名,備考,クラス,カウント
196,大崩山,32.7377777,131.5130555,おおくえやま,1644,宮崎県,中四国・九州,,二百名山,0
197,市房山,32.3116666,131.1011111,いちふさやま,1721,熊本県・宮崎県,中四国・九州,,二百名山,0
198,尾鈴山,32.2991666,131.4266666,おすずやま,1405,宮崎県,中四国・九州,,二百名山,0
199,霧島山（高千穂峰）,31.8863888,130.9188888,きりしまやま（たかちほみね）,1574,宮崎県,中四国・九州,H26年標高変更,二百名山,0
200,御岳（北岳）,31.5886111,130.6547222,おんたけ（きただけ）,1117,鹿児島県,中四国・九州,,二百名山,0
201,ニセイカウシュッペ山,43.78,142.9852777,にせいかうしゅっぺさん,1883,北海道,北海道,,三百名山,0
202,オプタテシケ山,43.4702777,142.7516666,おぷたてしけやま,2013,北海道,北海道,H26年標高変更,三百名山,0
203,神威岳,42.4283333,142.9069444,かむいだけ,1600,北海道,北海道,,三百名山,0
204,余市岳,43.0327777,141.0197222,よいちだけ,1488,北海道,北海道,,三百名山,0
205,ニセコアンヌプリ,42.875,140.6588888,にせこあんぬぷり,1308,北海道,北海道,,三百名山,0
206,狩場山,42.6133333,139.9405555,かりばやま,1520,北海道,北海道,,三百名山,0
207,大千軒岳,41.5794444,140.1608333,だいせんげんだけ,1072,北海道,北海道,,三百名山,0
208,五葉山,39.2052777,141.7322222,ごようざん,1351,岩手県,東北,,三百名山,0
209,烏帽子岳（乳頭山）,39.805,140.8386111,えぼしだけ,1478,岩手県・秋田県,東北,,三百名山,0
210,太平山,39.7969444,140.3105555,たいへいざん,1170,秋田県,東北,,三百名山,0
211,摩耶山,38.5202777,139.7277777,まやさん,1020,山形県,東北,,三百名山,0
212,祝瓶山,38.1975,139.8797222,いわいがめやま,1417,山形県,東北,,三百名山,0
213,泉ヶ岳,38.4119444,140.7088888,いずみがたけ,1175,宮城県,東北,,三百名山,0
214,一切経山,37.7352777,140.2444444,いっさいきょうさん,1949,福島県,東北,,三百名山,0
215,大滝根山,37.355,140.7016666,おおたきねやま,1192,福島県,東北,,三百名山,0
216,粟ヶ岳,37.5552777,139.1886111,あわがたけ,1293,新潟県,上信越,,三百名山,0
217,浅草岳,37.3436111,139.2336111,あさくさだけ,1585,新潟県・福島県,上信越,,三百名山,0
